id,Entity,text,url,gt,gemini-flash,gemini-pro,gemini-flash-vlm,train
00122.jsonl.gz-15215122,Apartment,"Apartment in the heart of the capital, Un chambre (58011), 008",https://static-new.dobovo.com/img/apts/34/3431/3431_37268_580x440_dobovo.jpg,no,france,no,ukraine,2
00062.jsonl.gz-9014599,House,4 Bedroom                                  4 Bedroom House and Lot For Sale  big photo 13,https://d38dwrpoohadw1.cloudfront.net/public/listing/listing_1479271513_4033_3941.JPG,no,no,no,-1,2
666080,Jewelry,Paris Hilton Jewelry Line Launch - Stock Photo,http://st.depositphotos.com/1814084/1733/i/110/depositphotos_17333057-Paris-Hilton-Jewelry-Line-Launch.jpg,no,no,no,-1,2
78869,Shop,"Chocolates from Goo Goo Shop and Dessert Bar in Nashville, Tennessee",https://fh-sites.imgix.net/sites/2898/2019/09/16130623/65916578_2526343610723824_1267036316055371776_o.jpg?auto=compress%2Cformat&fit=crop&crop=faces&w=360&h=240,united states,united states,united states,united states,2
00053.jsonl.gz-1343467,House,Washer and Dryer in Cubby House,https://media-cdn.tripadvisor.com/media/vr-splice-j/01/79/55/05.jpg,no,no,no,no,2
00061.jsonl.gz-7926979,Toilet,Orange And Blue Toilet For Public Outdoor,https://static3.bigstockphoto.com/3/8/1/large2/183687955.jpg,no,no,no,france,2
00096.jsonl.gz-2017476,Hill,"ÃÂ© The McGraw-Hill Companies, Inc., 2003 McGraw-Hill/Irwin Quick Check What effect will the overapplied overhead have on PearCo's net operating income?",http://images.slideplayer.info/9/2551042/slides/slide_44.jpg,no,united states,no,united states,2
00051.jsonl.gz-5285535,House,"Sofa Sale!Now is the time to beautify your home with a new sofa, sectional, sleeper orrecliner from the unique Hampton House Collection. Get immediate delivery orcustom order from hundreds of fabrics and leathers.Sofas from$849 to $2399HAMPTON HOUSEurniture Sollectionon Van Dyke between 26 & 27 Mile Roads. 586-781-5579Family owned for 45 years www.hamptonhousefurniture.comMon & Thurs 9am-8pm Tues, Wed, Fri, Sat 9am-5pm Closed Sunday",https://localfusion.secure.ownlocal.com/img/uploads/7270996/hover_images.jpg,united states,united states,united states,-1,2
00076.jsonl.gz-3054682,Island,"Kidd Island, Coeur d'Alene Lake Cabin With Hot Tub - Northern Idaho vacation rentals",http://tap2.fkimg.com/media/vr-splice-l/00/71/f0/5a.jpg,united states,united states,united states,united states,2
00095.jsonl.gz-9482682,Hill,Doctor Who: The Coal Hill A/V Club,https://geeklectic.hipcast.com/albumart/1000_1576455258.jpg,no,united kingdom,united kingdom,-1,2
00109.jsonl.gz-13964129,Kitchen,Granit.Quartz.Marble Kitchen Countertop,https://i.ebayimg.com/00/s/NTU0WDc3MQ==/z/XBwAAOSw4GVYSdu6/$_35.JPG,no,no,no,no,2
00034.jsonl.gz-102567,Kitchen,"June 21, 2017. Garden City, New York, USA. Bob and Marc chat in kitchen area.",https://ssl.c.photoshelter.com/img-get2/I0000EDbOOP1rXBw/fill=/fit=188x188/I0000EDbOOP1rXBw.jpg,united states,united states,united states,united states,2
00085.jsonl.gz-8185807,Road,CARFAX: Flooded Cars on the Road in 2021,https://mma.prnewswire.com/media/1627845/CARFAX_Flood_Infographic.jpg,no,no,no,united states,2
00073.jsonl.gz-12901475,Island,Castle Island - Dark Brown 5 Piece Patio Set,https://www.specsserver.com/CACHE/MEQVANWDYDAQ.JPG?width=220&height=220&ccid=x66f1e0fb,no,no,no,-1,2
591758,Living Room,Paint Choices For Living Room New Ideas Best Living Room Paint Colors Design Living Rooms Living,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQySoiECuZqRavN1TaOJJPSPE0wUxLTCGhtHimlwaWQFIuLIWQCbA,no,no,no,no,2
311564,Lake,"3672 Twin Lake, Westlake Village, CA 91361 - MLS#: 218014945",https://realestatedigital.propertiescdn.com/ListingImages/camrmls/images/398/0/218014945.jpg,united states,united states,united states,united states,2
669127,Lake,Lake Tahoe Townhome located next to the Mountain Golf Course,https://thumbnails.trvl-media.com/MU_l_fPloYI8-k0InnDj_5DCZmk=/376x212/images.trvl-media.com/hotels/54000000/53610000/53608100/53608038/2327e03c_b.jpg,united states,united states,united states,-1,2
00122.jsonl.gz-602162,Car,2016 BMW X3 xDrive28i:24 car images available,https://s3.amazonaws.com/dcmcarimages/car-images/BMW/X3-xDrive28i/418612/5UXWX9C50G0D75514_1_thumb_948.jpg,no,no,no,united states,2
35717,Office,Office Oval Office Floor Plan Nice With Oval Office Floor Plan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTznW9Rk41Jeu-qL-HOwzXdk6KWgf7sWZrxnnh3rIAjjcD_pFMu,no,united states,united states,united states,2
740158,Lake,Let's hear it for the water rescue team as they enter the frozen lake!,http://elfhelpsafrica.org/userAssets/017.JPG,no,no,no,no,2
00041.jsonl.gz-5268372,Car,Pistol Vault Handgun Safe Car Safe Home Safe Rv Safe Sub,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx9Btmb6oMurPtvn4jL2xG9dPoS4uJkXK9IuJh0pjMH9bW3lrGPw,no,united states,no,no,2
00067.jsonl.gz-3475273,Flag,Men's White Tunisia Flag Long Sleeve T-Shirt,http://images.footballfanatics.com/FFImage/thumb.aspx?i=/productImages/_2459000/ff_2459500_full.jpg&amp;w=340,tunisia,tunisia,tunisia,-1,2
571942,Valley,"6280 Bylong Valley Way, Rylstone, NSW 2849",https://images.zenu.com.au/1200-min/cmamusxjh8obbyt8o8yqorzjemgmnqcu.jpg,australia,australia,australia,-1,2
598411,Lake,Daffodil Hill at Lake View Cemetery,https://photos.smugmug.com/photos/i-Ff2r9pc/0/L/i-Ff2r9pc-L.jpg,united states,united states,united states,united states,2
00089.jsonl.gz-14384541,Hill,one tree hill image,https://data.whicdn.com/images/130523629/superthumb.jpg?t=1407241386,no,no,no,-1,2
00126.jsonl.gz-9600861,Road,New design off road toy mini motorcycle with light,http://sc01.alicdn.com/kf/HTB1V06XNXXXXXXjapXXq6xXFXXX7/New-design-off-road-toy-mini-motorcycle.jpg,no,australia,no,china,2
00006.jsonl.gz-6178729,Mountain,"Fire On The Mountain restaurant located in DENVER, CO",https://www.themenyuapp.com/webservices/images/restaurant-logos/8360.png,united states,united states,united states,united states,2
968402,Shop,Frank Accessories Phone Case by Blasto's Artist Shop,https://cdn-images.threadless.com/threadless-media/artist_shops/shops/blasto/products/318492/shirt-1505226384-c62a81f534aac9ef08faa3f75a27f277.png?v=3&d=eyJvbmx5X21ldGEiOiBmYWxzZSwgImZvcmNlIjogZmFsc2UsICJvcHMiOiBbWyJpZl8iLCBbeyJ0IjogImV4cHIiLCAidiI6IFsiaGFzX2FscGhhIiwgbnVsbCwgbnVsbF19LCB7InQiOiAiY29tcCIsICJ2IjogWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9zaG9wcy9ibGFzdG8vcHJvZHVjdHMvMzE4NDkyL3NoaXJ0LTE1MDUyMjYzODQtYzYyYTgxZjUzNGFhYzllZjA4ZmFhM2Y3NWEyN2YyNzcucG5nIiwgW1sidHJpbSIsIFt0cnVlLCBmYWxzZV0sIHt9XSwgWyJyZXNpemUiLCBbNjQxLjI1MDAwMDAwMDAwMDEsIDg1NC45OTk5OTk5OTk5OTk5XSwgeyJtYXhfc2NhbGUiOiAyLjB9XSwgWyJwYWQiLCBbNTcwLjAsIDI0Ny41LCA0NzUuMCwgMjM2LjI1XSwgeyJiYWNrZ3JvdW5kIjogImZmZmZmZiJ9XSwgWyJjYW52YXNfY2VudGVyZWQiLCBbMTEyNS4wLCAxOTAwLjBdLCB7ImJhY2tncm91bmQiOiAiZmZmZmZmIn1dXV19LCB7InQiOiAiY29tcCIsICJ2IjogWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9zaG9wcy9ibGFzdG8vcHJvZHVjdHMvMzE4NDkyL3NoaXJ0LTE1MDUyMjYzODQtYzYyYTgxZjUzNGFhYzllZjA4ZmFhM2Y3NWEyN2YyNzcucG5nIiwgW1sicmVzaXplIiwgWzExMjUuMCwgMTkwMC4wXSwgeyJtYXhfc2NhbGUiOiAyLjAsICJzdHlsZSI6ICJDUk9QIn1dLCBbImNhbnZhc19jZW50ZXJlZCIsIFsxMTI1LjAsIDE5MDAuMF0sIHsiYmFja2dyb3VuZCI6ICJmZmZmZmYifV1dXX1dLCB7fV0sIFsiZW5jb2RlIiwgWyIucG5nIl0sIHsiZHBpIjogMzAwfV0sIFsicmVzaXplIiwgWzExNDVdLCB7fV0sIFsib3ZlcmxheSIsIFsidGhyZWFkbGVzcy1tZWRpYS9hcnRpc3Rfc2hvcHMvb3ZlcmxheXMvOTY4ZWQyNmRhNGFiYTFlMzhmZGNkMDdiODJkYTkyMTgvZnJvbnQtMTUwNTMyMDEzMi0wZjRhZGExNTVmZjYxODAwZjQ2NGQyNTQ2NTEzMzdjZC5wbmciXSwgeyJ5IjogMCwgIngiOiA0MjgsICJiYWNrZ3JvdW5kIjogImZmZmZmZiJ9XSwgWyJyZXNpemUiLCBbODAwXSwge31dLCBbImNhbnZhc19jZW50ZXJlZCIsIFs4MDAsIDgwMCwgIiNmZmZmZmYiXSwge31dLCBbImVuY29kZSIsIFsianBnIiwgODVdLCB7fV1dfQ==,no,no,no,no,2
00042.jsonl.gz-9313255,Hotel,"Holidays at Evridika Hotel in Pamporovo, Bulgaria",https://images.sunshine.co.uk/ss/htl/1/8/1/18125-1-l.jpg,bulgaria,bulgaria,bulgaria,bulgaria,2
556719,Jewelry,Murano Glass Turquoise Copper Ball Silver Necklace Venetian Glass Jewelry,https://thumbs4.ebaystatic.com/d/l180/pict/264780742198_1.jpg,italy,italy,italy,-1,2
666605,Office,How To Organize A Home Office,https://i2.wp.com/www.klaudiascorner.net/wp-content/uploads/2017/02/How-To-Organize-A-Home-Office-510x765.jpg?resize=510%2C765,no,united states,no,no,2
382414,Valley,"2611 Forest Valley Drive, Fort Wayne image",https://t3.realgeeks.media/thumbnail/M5o4I3woNh_niWar-fALz2QGlhg=/182x144/https://property-media.realgeeks.com/136/f1badd767af6345529aeeeade70c3a1d.jpg,united states,united states,united states,united states,2
927201,Shop,Imagination - be careful where you point that thing Women's Tank by Amu Designs Artist Shop,https://cdn-images.threadless.com/threadless-media/artist_shops/shops/amudesigns/products/8483/shirt-1487691391-bd2a6ae21ee19114a5e6c7eb807bac4e.png?v=3&d=eyJvbmx5X21ldGEiOiBmYWxzZSwgImZvcmNlIjogZmFsc2UsICJvcHMiOiBbWyJ0cmltc2NyaXB0IiwgWzg1Ny4xNDI4NTcxNDI4NTcxLCAxMDI4LjU3MTQyODU3MTQyODRdLCB7fV0sIFsiZW5jb2RlIiwgWyIucG5nIl0sIHsiZHBpIjogMzAwfV0sIFsicmVzaXplIiwgWzYxNl0sIHt9XSwgWyJvdmVybGF5IiwgWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9vdmVybGF5cy9kYWFjOGI2Njk4OWYzNzA0ZjNlZTlmOWI5OGUxNTk5MC9mcm9udC0xNTgzODYxNTUyLWI5N2U4YzQ2NjZmN2VjMjQ2NjMwODlkOGViZDQ0NDhkLnBuZyJdLCB7InkiOiA4MzYsICJ4IjogNzAwLCAiYmFja2dyb3VuZCI6ICJmZmZmZmYifV0sIFsicmVzaXplIiwgWzgwMF0sIHt9XSwgWyJjYW52YXNfY2VudGVyZWQiLCBbODAwLCA4MDAsICIjZmZmZmZmIl0sIHt9XSwgWyJlbmNvZGUiLCBbImpwZyIsIDg1XSwge31dXX0=,no,pakistan,no,no,2
112819,Jewelry,Chinese Ancient Style Empress Headpieces Hair Jewelry for Women,http://www.china-cart.com/u/166/363359/--.jpg,no,china,china,china,2
00123.jsonl.gz-195610,Apartment,2 Bedroom Basement Apartment Available Oct 1,https://i.ebayimg.com/00/s/NjQwWDQ3OA==/z/OxAAAOSwF71Zxj9V/$_35.JPG,no,no,no,no,2
00082.jsonl.gz-4526780,Car,Cheating Bengaluru wife gives blowjob to lover in car,https://static.freeindianporn2.com/000/041/41612/41612.jpg,india,india,india,-1,2
983605,Jewelry,Trendsmax 24/31mm Wide Biker 316L Stainless Steel Heavy Curb Chain Bracelet Mens Boys Chain Wholesale Jewelry HBM24,https://ae01.alicdn.com/kf/HTB1FoZFOXXXXXXaXXXXq6xXFXXXi/Trendsmax-24-31mm-Wide-Biker-316L-Stainless-Steel-Heavy-Curb-Chain-Bracelet-Mens-Boys-Chain-Wholesale.jpg_640x640.jpg?1000,no,no,no,-1,2
643137,Office,"Tule Lake Relocation Center, Newell, California. A group of 19 newspapermen, wire service, and newsreel cameramen, and representatives of OWI [Office of War Information] visited the Tule Lake Relocation Center. This was the first inspection tour granted the press.",https://drexel.edu/~/media/Images/now/v2/story-images/2015/july/Tule%20Lake%20final%20newspapers.ashx?h=530&la=en&w=800&hash=E0EA9A6FE5F97D77B1B7F8E49F704F113148615E,united states,united states,united states,united states,2
00068.jsonl.gz-5349983,Flag,"An American flag flutters in the wind next to signage for a United States Social Security Administration office in Burbank, California October 25, 2012. REUTERS/Fred Prouser",http://s1.reutersmedia.net/resources/r/?m=02&d=20130509&t=2&i=730247400&w=780&fh=&fw=&ll=&pl=&sq=&r=CBRE9481I5H00,united states,united states,united states,united states,2
00072.jsonl.gz-10779361,Hotel,"LONDON, ENGLAND - SEPTEMBER 15:  Cilla Black attends the Sanctum Hotel party marking the end of summer at Sanctum Soho on September 15, 2010 in London",https://static.ok.co.uk/media/images/625x938_ct/691805_GettyImages_104130569_54737be5221ee585ad09c695da88fdf5.jpg,united kingdom,united kingdom,united kingdom,united kingdom,2
00070.jsonl.gz-1637525,Hill,"PHOTO: Former White House national security aide Fiona Hill testifies before the House Intelligence Committee on Capitol Hill in Washington, Nov. 21, 2019. (Andrew Harnik/AP)",https://s.yimg.com/ny/api/res/1.2/4cSVDiNOfc7k5zC19TsM1g--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9NjA4O2g9MzQyO2lsPXBsYW5l/https://s.abcnews.com/images/Politics/impeachment-hearing-14-ap-jc-191121_hpMain_16x9_608.jpg,united states,united states,united states,-1,2
00063.jsonl.gz-14264003,Bedroom,Home Decoration Magazine by Home Decoration Huevus Set Mickey Mouse Bedroom Furniture Home,http://t0.gstatic.com/images?q=tbn:ANd9GcRsE3HYBunGUsTx4xbSExFwIobSRB4psSSeF234uKYAEVyenN2B,no,united states,no,no,2
748828,Wedding Dress,"Lydia Pears (nÃÂ½e Tayler), 26, knitted her own wedding dress - Daily Mail Online - July 2012",https://i1.wp.com/jonathanpow.com/wp-content/uploads/2012/07/POW_LYDIA_TAYLER-DAILY_MAIL_ONLINE_011.jpg?w=91&h=278&ssl=1,no,germany,united kingdom,united kingdom,2
00073.jsonl.gz-16449533,Flag,Flag of Colorado Poster,http://rlv.zcache.com/flag_of_colorado_poster-rdbeac36e165c4cc1a7b47f2704424935_ey6_8byvr_324.jpg,united states,united states,united states,united states,2
00061.jsonl.gz-7965116,Flag,mastro de bandeira : Flag of Ukraine and flag of European Union fluttering on a background of a blue sky,https://vidcdn.123rf.com/450nwm/alexxx87/alexxx871907/alexxx87190700056.jpg,ukraine,ukraine,ukraine,ukraine,2
00122.jsonl.gz-11635237,Road,"Great Little Trading Co On The Road Duvet Cover and Pillowcase Set, Single, Multi",https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ajohnlewis.scene7.com%2Fis%2Fimage%2FJohnLewis%2F238488123%3F%24fash_product%24&feedId=1203&k=e8b2f031ac4dc2867c27b20dd3b8706d984930d5,no,no,no,united kingdom,2
3058,Shop,A personal favorite from my Etsy shop https://www.etsy.com/listing/524957488/im-allergic-to-negative-people-funny,https://i.pinimg.com/236x/f0/9c/f7/f09cf79a87259e55844da9baf93cceee.jpg,no,no,no,no,2
00014.jsonl.gz-1466487,Road,Cairbull Road Bike Helmet Aero Fietshelm Racefiets Goggles Bicycle Cycling Ultralight Integrally-molded MTB TT Magnetic UV Visor topeak outdoor sports cycling photochromic sun glasses bicycle sunglasses mtb nxt lenses glasses eyewear goggles 3 colors,https://ae01.alicdn.com/kf/HTB1LkeGf8DH8KJjy1zeq6xjepXa1/Cairbull-Road-Bike-Helmet-Aero-Fietshelm-Racefiets-Goggles-Bicycle-Cycling-Ultralight-Integrally-molded-MTB-TT-Magnetic.jpg,no,no,no,no,2
135339,Lake,"2019 Polaris RZR XP 1000 in Lake Havasu City, Arizona - Photo 1",https://cdp.azureedge.net/products/USA/PO/2019/UTILVEH/UTILSPRT/RZR_XP_1000/50/SKY_BLUE/2000000012_480px.jpg,united states,united states,united states,united states,2
00081.jsonl.gz-14300820,House,What is the Kabah The Kabah is the house of Allah in the city of Makkah in Saudi Arabia.,http://slideplayer.com/slide/785329/3/images/3/What+is+the+Kabah+The+Kabah+is+the+house+of+Allah+in+the+city+of+Makkah+in+Saudi+Arabia..jpg,saudi arabia,saudi arabia,saudi arabia,saudi arabia,2
00007.jsonl.gz-13567167,Car,"BP's acquisition of Chargemaster essential for future growth as electric vehicles set to reach 90% of all car sales by 2050, says GlobalData",https://www.eqmagpro.com/wp-content/uploads/2018/06/BP%E2%80%99s-acquisition-of-Chargemaster-essential-for-future-growth-as-electric-vehicles-set-to-reach-90-of-all-car-sales-by-2050-says-GlobalData-288x190.jpg,no,no,united kingdom,-1,2
00062.jsonl.gz-16207542,Apartment,"Apartment for rent in 3922-24 N. Milwaukee Ave., Chicago, IL, 60641",https://mediavault.point2.com/p2h/listing/8c97/be0e/8a9d/22b8154f6b178546799f/nwm_large.jpg,united states,united states,united states,united states,2
00069.jsonl.gz-12872240,Beach,Wooden Bridge Over The Hillsborough River Beach Towel,https://render.fineartamerica.com/images/rendered/small/flat/beach-towel/images-medium/wooden-bridge-over-the-hillsborough-river-barbara-bowen.jpg?transparent=0&targetx=0&targety=-29&imagewidth=952&imageheight=534&modelwidth=952&modelheight=476&backgroundcolor=192710&orientation=0&producttype=beachtowel-32-64,no,united states,no,united states,2
00054.jsonl.gz-4011444,Beach,"Venice Beach - Los Angeles, California.",https://ssl.c.photoshelter.com/img-get2/I00006ydo5mh7RBU/fit=1000x750/g=G0000edWlLQXfGkI/140907-ca-los-angeles-1163.jpg,united states,united states,united states,-1,2
00089.jsonl.gz-13583465,Beach,Mama Bear And Her Two Cubs On The Beach. Wood Print,https://render.fineartamerica.com/images/rendered/medium/wood-print/images/artworkimages/medium/2/mama-bear-and-her-two-cubs-on-the-beach-lyl-dil-creations.jpg,no,no,no,-1,2
00060.jsonl.gz-11950498,Car,Adopt a Pit Bull Car Window Sticker,https://i2.wp.com/sewdogcrazy.com/store/wp-content/uploads/2017/01/products-pitbull-adopt-decal.jpg?resize=150%2C111&ssl=1,no,no,no,no,2
909601,Office,Acrylic 6-Shelf Office Supply Desk Organizer. Made in Taiwan | Nile Corp,https://cdn.shopify.com/s/files/1/1783/9659/products/SAT0155A-1_compact.jpg?v=1536614502,no,"taiwan, province of china",taiwan,taiwan,2
00088.jsonl.gz-5473358,Hotel,Hotel Campanile Chateauroux - Saint Maur Chateauroux: Photo Restaurant,https://photo1.hotelsclick.com/chateauroux/73915/wide/campanile-chateauroux-saint-maur-restaurant.308.jpg,france,france,france,-1,2
00106.jsonl.gz-17385804,Car,Yellow wooden toy car on metal road,https://static1.bigstockphoto.com/5/8/2/large2/285007306.jpg,no,no,no,no,2
00009.jsonl.gz-15494247,House,Sally Barris at North House with NPRs Mountain Stage,https://ssl.c.photoshelter.com/img-get2/I0000JiFvfuMxeG0/fit=180x180/fill=/g=G0000XtJCmmuUUeI/I0000JiFvfuMxeG0.jpg,no,no,united states,-1,2
814616,Living Room,living room interior designs in bella vista chennai,https://3.imimg.com/data3/JN/XN/MY-3594432/living-room-design-lighting-500x500.jpg,india,india,india,india,2
00114.jsonl.gz-390758,Bedroom,"A two-bedroom apartment at The Elysian Fourplexes, 313 Blaine Street, #101, Moscow ID 83843",http://www.apartmentrentalsinc.com/imgMoscow/Elysian/313Blaine101/313Blaine101Liv2.jpg,russia,united states,united states,united states,2
00077.jsonl.gz-5163811,Flag,"""Zomo Universal Case CDJ-1 UK Flag for CD-Player / 12"""" Mixer Product Image""",https://images.musicstore.de/images/0960/zomo-universal-case-cdj-1-uk-flag-for-cd-player-12-mixer_1_DJE0002641-000.jpg,united kingdom,united kingdom,united kingdom,united kingdom,2
225886,Jewelry,"Personalized Smooth Coat Collie Angel Wing Necklace, Collie Memorial Pendant Jewelry, Collie Sympathy Gifts",https://cdn3.volusion.com/rwpbu.rljwc/v/vspfiles/photos/55363-4006-2T.jpg?v-cache=1575289223,no,no,no,-1,2
00048.jsonl.gz-9738589,Road,"Beautiful mountain views of Elk Creek Valley located in Grayson County. This is one of two adjoining tracts. This lot has its own entrance and road leading up to a buildable home site with an outstanding view. A small tiny cabin is already partially fixed. Gentle stream runs through Lots 4 & 5. This property offers plenty of seclusion and acreage, even adjoining Jefferson National Forest. Very close to hiking trails and horse camps. Lot 5 has been perked for a 3 bedroom septic system. Lot 4 & 5 can be sold individually or together. Call for an appointment today!",https://cdnparap60.paragonrels.com/ParagonImages/Property/P6/NRV/410928/0/0/0/0e909e266d91248b06b128ce3f3bd0f7/5/8bbc556fc1ec5b3e2ec32b3bc571aff1/410928.JPG,united states,united states,united states,united states,2
00042.jsonl.gz-14062666,Car,NEW Product!  Mini car radio QYT KT-8900D 136-174/400-480MHz dual band quad dsiplay 25W mobile transicever KT8900D,https://ae01.alicdn.com/kf/HTB1ogNhOXXXXXaSXVXXq6xXFXXXS/NEW-Product-Mini-car-radio-QYT-KT-8900D-136-174-400-480MHz-dual-band-quad-dsiplay.jpg_220x220.jpg,no,no,no,china,2
00051.jsonl.gz-11802949,Flag,3D Waving Flag Illustration of the country of Italy,https://cdn.xxl.thumbs.canstockphoto.com/a-3d-waving-flag-illustration-of-the-country-of-italy-stock-photos_csp30115239.jpg,italy,italy,italy,-1,2
00076.jsonl.gz-10323901,Island,"An SUV is stuck in the sand on NC 12 in the Mirlo Beach area of Rodanthe, N.C. on Thursday, March 7, 2013, the day after a winter storm brought sound-side flooding and some ocean overwash to Hatteras Island",https://i.pinimg.com/236x/cd/2b/e4/cd2be48bee97d51c9a8b7c9ae1adba0d--hatteras-island-march-.jpg,united states,united states,united states,united states,2
00095.jsonl.gz-16657915,House,Small Large Pet Bed Dog Cat Bed House Kennel Warm Cushion Mat Blanket Kennel 4,https://thumbs2.ebaystatic.com/pict/3625166908374040_1.jpg,no,india,no,-1,2
00090.jsonl.gz-4078005,Bedroom,2 bedroom Barn Conversion for sale in High Haverflatts...,http://media.rightmove.co.uk/dir/113k/112717/44828551/112717_100059001295_IMG_00_0000_max_214x143.jpg,united kingdom,united kingdom,united kingdom,-1,2
00072.jsonl.gz-13473460,Island,Vancouver Island Welcomes The Return Of The BC Bike Race,https://2wheelstoday.com/wp-content/uploads/2019/07/Vancouver-Island-Welcomes-The-Return-Of-The-BC-Bike-Race.jpg,canada,canada,canada,canada,2
607075,Lake,Homewood Suites Salt Lake City Airport,https://static.travelagewest.com/i/sized/240/308/media.iceportal.com/104527/photos/67242001_XL.jpg,united states,united states,united states,-1,2
130951,Jewelry,Gold Filled 4-Way Pendant 1 1/4 x 1 inches with Heavy Curb Chain by Bonyak Jewelry Saint Medal Collection,https://images-na.ssl-images-amazon.com/images/I/51JFE89%2BJYL.jpg,no,no,no,no,2
00051.jsonl.gz-16578734,Bedroom,"Thumbnail 3 bedroom terraced house to rent in Birchwood St, King's Lynn",https://lid.zoocdn.com/354/255/bf66a0390006deacf1394f6433903c573fb089d2.jpg,united kingdom,united kingdom,united kingdom,united kingdom,2
00114.jsonl.gz-7406205,Road,Goalkeeper Yenith Bailey stole points for Panama on the road to a spot in Sunday's semifinals at the CONCACAF Women's Championship in Texas.,https://images.thestar.com/-Nrlk6xUKCekWavDcxhIc6TwTrU=/1086x724/smart/filters:cb(2700061000)/https://www.thestar.com/content/dam/thestar/sports/soccer/2018/10/13/panamanian-keeper-stands-between-canada-and-womens-world-cup-berth/yenith_bailey.jpg,united states,united states,united states,-1,2
00017.jsonl.gz-2653374,Mountain,Danner Mountain Light Hiking Boot (Brown),https://cdn.shopify.com/s/files/1/0012/2326/2252/products/B30866_300x.jpeg?v=1569255859,no,no,no,-1,2
898458,Valley,"Jacob Chasse Sunday during the Wint Filipek Sr. Tennis Tournament held at Copper Valley Club in Cheshire Jun. 14, 2015 | Justin Weekes / For the Record-Journal",https://photos.smugmug.com/Archive-Gallery/Wint-Filipek-Tennis-Tournament/i-v23dgwd/2/a563732b/S/_MG_3082-S.jpg,united states,united states,united states,united states,2
00060.jsonl.gz-8809996,Flag,GOD BLESS THIS MILITARY DAD rugged cross & US flag Postcard,https://rlv.zcache.com/god_bless_this_military_dad_rugged_cross_us_flag_postcard-rcda81b222cca4e8e871d5f9d54c9c2be_vgbaq_8byvr_324.jpg,united states,united states,united states,united states,2
00055.jsonl.gz-4261294,Road,2013 Newest carbon wheels carbon alloy 700c road bike wheels FFWD F6R with carbon hubs Road carbon bike parts,http://i00.i.aliimg.com/wsphoto/v1/1494462512_1/2013_Newest_carbon_wheels_carbon_alloy_700c_road_bike_wheels_FFWD_F6R_with_carbon_hubs_Road_carbon_bike_parts.jpg_200x200.jpg,no,no,no,no,2
00086.jsonl.gz-16578167,Car,12W high efficiency 2015 new integrated all in one solar led street light all in one led for car,http://sc01.alicdn.com/kf/HTB1nZaUJFXXXXceXpXXq6xXFXXXG/12W-high-efficiency-2015-new-integrated-all.jpg,no,no,no,china,2
00080.jsonl.gz-8412078,Toilet,Heated Toilet Seat Images,https://tse4.mm.bing.net/th?id=OIP.u0qHfqEK8nfnU6tWhuNz-gHaFj,no,no,no,china,2
00053.jsonl.gz-17702605,Toilet,Modern Bathroom Cloakroom Suite Close Coupled Toilet Grey Vanity Unit Sink 600mm,http://suitecloakroombathroom.com/wp-content/images/Modern-Bathroom-Cloakroom-Suite-Close-Coupled-Toilet-Grey-Vanity-Unit-Sink-600mm-08-mpi.jpg,no,no,no,-1,2
00086.jsonl.gz-14955177,Hotel,The swimming pool at Subic Waterfront Resort & Hotel,https://1.bp.blogspot.com/-kTazP7riQsw/YD-nAnHEnnI/AAAAAAAAMBU/q27ShEq09vgti79KWBVWeGBgQlrSB0iswCNcBGAsYHQ/s16000/subic-waterfront-pool.jpg,philippines,philippines,philippines,philippines,2
15246,Valley,NorWesco 14 In. x 50 Ft. Mill Aluminum Roll Valley Flashing,https://4710-cdn.doitbest.com/Data/ItemImage-109533-q5vb77-d6vj1k-2bhbp3.jpg?AutoCrop=1&CropHeight=400&CropWidth=400&Quality=50&Resize=Smallest&Revision=HZtG&Timestamp=W24sFG&Width=400,no,no,no,-1,2
873062,Lake,Willow Lake Acrylic Print by Bill Morgenstern,https://render.fineartamerica.com/images/rendered/search/acrylic-print/metalposts/break/images-medium-5/willow-lake-bill-morgenstern.jpg,united states,united states,no,no,2
00025.jsonl.gz-706274,Flag,archipelago: Flag of Maldives officially the Republic of Maldives is an island country and archipelago in the Indian Ocean. 3d illustration,https://us.123rf.com/450wm/zloyel/zloyel1608/zloyel160800278/61282296-flag-of-maldives-officially-the-republic-of-maldives-is-an-island-country-and-archipelago-in-the-ind.jpg?ver=6,maldives,maldives,maldives,-1,2
00088.jsonl.gz-1809045,Toilet,Orchard Myspace white right handed unit with contemporary toilet and seat,https://victoriaplum.imgix.net/vp_prod_images/20617020-6df5-4f92-93e3-d6e59cc6ae57.jpg?w=345&amp;auto=format,no,no,no,no,2
00041.jsonl.gz-12628866,Flag,"Lithuania flag, vector illustration",http://images.crestock.com/7450000-7459999/7454146-xs.jpg,lithuania,lithuania,lithuania,lithuania,2
